Age,Age Group,city,customer_code,dob,Estimated Settlement Amount,Final Premium Amount,Sum of Settlement %
20,18-24,Delhi NCR,SUN464,2005-01-01 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUN4AS7,2005-03-23 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUN4UD,2005-06-02 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUN4YU,2005-01-30 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN51H,2005-07-28 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUN5MIK,2005-03-15 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUN6GTM,2005-03-14 00:00:00,$45334,33285,0.362
20,18-24,Delhi NCR,SUN6OGH,2005-05-31 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUN6Q9,2005-06-26 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUN72P9,2005-06-08 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN73C,2005-07-23 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN7C8,2005-02-25 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUN7F7X,2005-02-26 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUN7SI0,2005-01-07 00:00:00,$10215,7500,0.362
20,18-24,Delhi NCR,SUN7SR8,2005-09-16 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN81H,2005-02-02 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUN8FX,2005-01-06 00:00:00,$16671,12240,0.362
20,18-24,Delhi NCR,SUN99QQ,2005-07-21 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN9X78,2005-08-30 00:00:00,$23200,17034,0.362
20,18-24,Delhi NCR,SUNA04V,2005-09-10 00:00:00,$10215,7500,0.362
20,18-24,Delhi NCR,SUNA60,2005-10-16 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNAFA,2005-04-26 00:00:00,$16344,12000,0.362
20,18-24,Delhi NCR,SUNAG2,2005-05-18 00:00:00,$44471,32651,0.362
20,18-24,Delhi NCR,SUNANK,2005-09-17 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNASRG,2005-08-24 00:00:00,$45334,33285,0.362
20,18-24,Delhi NCR,SUNBSA,2005-03-27 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUNBZ9Y,2005-08-11 00:00:00,$166709,122400,0.362
20,18-24,Delhi NCR,SUNBZH,2005-03-22 00:00:00,$16671,12240,0.362
20,18-24,Delhi NCR,SUNC12,2005-01-10 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNCS7X,2005-09-05 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNDDZ,2005-09-07 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNDQ1,2005-04-26 00:00:00,$30161,22145,0.362
20,18-24,Delhi NCR,SUNDSH,2005-03-02 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNECD,2005-09-23 00:00:00,$104193,76500,0.362
20,18-24,Delhi NCR,SUNEHI3,2005-08-21 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUNEKR,2005-01-30 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUNENY,2005-08-20 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNFFB3,2005-01-31 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNFJQ,2005-05-26 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNFL5A,2005-05-28 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNGR0,2005-05-17 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNHG,2005-01-03 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNHO48,2005-06-23 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNHXB,2005-04-01 00:00:00,$44471,32651,0.362
20,18-24,Delhi NCR,SUNIGA,2005-07-09 00:00:00,$45334,33285,0.362
20,18-24,Delhi NCR,SUNJ4Q,2005-10-21 00:00:00,$16671,12240,0.362
20,18-24,Delhi NCR,SUNJT7,2005-04-11 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNKKK,2005-02-20 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNKW,2005-06-07 00:00:00,$10521,7725,0.362
20,18-24,Delhi NCR,SUNL7,2005-02-21 00:00:00,$16671,12240,0.362
20,18-24,Delhi NCR,SUNLWFI,2005-02-09 00:00:00,$30747,22575,0.362
20,18-24,Delhi NCR,SUNM2R,2005-10-08 00:00:00,$23883,17535,0.362
20,18-24,Delhi NCR,SUNM4H,2005-07-03 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNM4Q,2005-03-16 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNMFI,2005-09-30 00:00:00,$44039,32334,0.362
20,18-24,Delhi NCR,SUNMI64,2005-08-08 00:00:00,$23883,17535,0.362
20,18-24,Delhi NCR,SUNMZ1,2005-09-09 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNNBGK,2005-05-17 00:00:00,$109403,80325,0.362
20,18-24,Delhi NCR,SUNNKXY,2005-03-02 00:00:00,$60779,44625,0.362
20,18-24,Delhi NCR,SUNNLY5,2005-03-05 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNNTRQ,2005-10-17 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUNNWBN,2005-08-31 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUNOFS,2005-07-15 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNONX5,2005-08-29 00:00:00,$10215,7500,0.362
20,18-24,Delhi NCR,SUNP1JD,2005-09-01 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNPHA,2005-03-24 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNPNF,2005-05-06 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUNPQVB,2005-09-16 00:00:00,$16671,12240,0.362
20,18-24,Delhi NCR,SUNQ2Z7,2005-03-16 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNQAX0,2005-02-14 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUNQF3E,2005-09-02 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNQF8,2005-06-25 00:00:00,$30747,22575,0.362
20,18-24,Delhi NCR,SUNQKE1,2005-04-09 00:00:00,$10521,7725,0.362
20,18-24,Delhi NCR,SUNQLFQ,2005-05-09 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUNQPF9,2005-06-02 00:00:00,$106277,78030,0.362
20,18-24,Delhi NCR,SUNQT2G,2005-02-17 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNQXM,2005-04-12 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUNR99,2005-06-17 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUNRDW,2005-07-24 00:00:00,$30747,22575,0.362
20,18-24,Delhi NCR,SUNRIV,2005-03-09 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNRMT,2005-02-09 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUNRXPP,2005-04-02 00:00:00,$23883,17535,0.362
20,18-24,Delhi NCR,SUNS3B,2005-09-08 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNS5C,2005-02-19 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNSSVU,2005-05-20 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNSVLU,2005-04-20 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNT1T2,2005-10-17 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNT4,2005-07-24 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNTRVU,2005-09-15 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNU2,2005-04-11 00:00:00,$23883,17535,0.362
20,18-24,Delhi NCR,SUNU2EC,2005-05-21 00:00:00,$168343,123600,0.362
20,18-24,Delhi NCR,SUNU5Z,2005-08-18 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNU7YY,2005-08-16 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNUMD,2005-09-09 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNV405,2005-09-02 00:00:00,$16671,12240,0.362
20,18-24,Delhi NCR,SUNVG8,2005-07-13 00:00:00,$10521,7725,0.362
20,18-24,Delhi NCR,SUNVTWL,2005-09-01 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUNVY7,2005-06-19 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUNVZDU,2005-01-22 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNW64X,2005-10-16 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNWDVT,2005-09-05 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNWO1,2005-06-29 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUNX9H,2005-10-24 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUNXF4,2005-05-06 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNXGAE,2005-05-10 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNXIIS,2005-07-25 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNXUF1,2005-05-19 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNY3P,2005-02-27 00:00:00,$7014,5150,0.362
20,18-24,Delhi NCR,SUNYE9K,2005-03-14 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNYEC,2005-04-07 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNYEKS,2005-09-04 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUNYIAL,2005-05-10 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNYJK,2005-03-24 00:00:00,$23200,17034,0.362
20,18-24,Delhi NCR,SUNYN7G,2005-07-22 00:00:00,$16344,12000,0.362
20,18-24,Delhi NCR,SUNYXL,2005-02-04 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNYYQ,2005-03-21 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUNZA,2005-08-23 00:00:00,$22745,16700,0.362
20,18-24,Delhi NCR,SUNZKC,2005-03-26 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNZL7E,2005-02-25 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUNZLTW,2005-04-28 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUNZTT,2005-06-22 00:00:00,$43175,31700,0.362
20,18-24,Hyderabad,SUN05H,2005-06-18 00:00:00,$6810,5000,0.362
20,18-24,Hyderabad,SUN0SUW,2005-10-22 00:00:00,$10521,7725,0.362
20,18-24,Hyderabad,SUN190,2005-04-22 00:00:00,$29283,21500,0.362
20,18-24,Hyderabad,SUN3WCE,2005-05-17 00:00:00,$16671,12240,0.362
20,18-24,Hyderabad,SUN3XU,2005-04-20 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUN49HA,2005-07-07 00:00:00,$30161,22145,0.362
20,18-24,Hyderabad,SUN76K,2005-10-16 00:00:00,$16671,12240,0.362
20,18-24,Hyderabad,SUN82F,2005-08-12 00:00:00,$59043,43350,0.362
20,18-24,Hyderabad,SUN9F8,2005-05-03 00:00:00,$29869,21930,0.362
20,18-24,Hyderabad,SUN9XF,2005-07-19 00:00:00,$23200,17034,0.362
20,18-24,Hyderabad,SUNBE8,2005-07-05 00:00:00,$6810,5000,0.362
20,18-24,Hyderabad,SUNCKP,2005-07-03 00:00:00,$10215,7500,0.362
20,18-24,Hyderabad,SUNCW24,2005-06-06 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUND1BI,2005-07-28 00:00:00,$6810,5000,0.362
20,18-24,Hyderabad,SUNDZV,2005-05-26 00:00:00,$10419,7650,0.362
20,18-24,Hyderabad,SUNG2M,2005-04-07 00:00:00,$10726,7875,0.362
20,18-24,Hyderabad,SUNH0R6,2005-09-14 00:00:00,$7151,5250,0.362
20,18-24,Hyderabad,SUNH5Y,2005-05-14 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNHVO,2005-05-31 00:00:00,$16344,12000,0.362
20,18-24,Hyderabad,SUNHW1,2005-07-01 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNJ7FJ,2005-02-26 00:00:00,$7014,5150,0.362
20,18-24,Hyderabad,SUNK148,2005-06-09 00:00:00,$7014,5150,0.362
20,18-24,Hyderabad,SUNK25W,2005-04-10 00:00:00,$7151,5250,0.362
20,18-24,Hyderabad,SUNK7AN,2005-04-21 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNKAU,2005-10-21 00:00:00,$45334,33285,0.362
20,18-24,Hyderabad,SUNKXI,2005-05-18 00:00:00,$16344,12000,0.362
20,18-24,Hyderabad,SUNKZ3H,2005-08-12 00:00:00,$44039,32334,0.362
20,18-24,Hyderabad,SUNL6DF,2005-02-08 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNLHBX,2005-05-25 00:00:00,$30747,22575,0.362
20,18-24,Hyderabad,SUNM2O,2005-03-28 00:00:00,$7151,5250,0.362
20,18-24,Hyderabad,SUNMW,2005-07-11 00:00:00,$10521,7725,0.362
20,18-24,Hyderabad,SUNO7W,2005-04-28 00:00:00,$6810,5000,0.362
20,18-24,Hyderabad,SUNOFSK,2005-08-04 00:00:00,$17161,12600,0.362
20,18-24,Hyderabad,SUNPCB4,2005-09-27 00:00:00,$171612,126000,0.362
20,18-24,Hyderabad,SUNPJ8,2005-05-18 00:00:00,$16671,12240,0.362
20,18-24,Hyderabad,SUNPTFA,2005-09-17 00:00:00,$17161,12600,0.362
20,18-24,Hyderabad,SUNQ9S3,2005-05-30 00:00:00,$10726,7875,0.362
20,18-24,Hyderabad,SUNQAK,2005-05-03 00:00:00,$10419,7650,0.362
20,18-24,Hyderabad,SUNQB43,2005-03-10 00:00:00,$7014,5150,0.362
20,18-24,Hyderabad,SUNRMX,2005-06-02 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNTPB,2005-10-25 00:00:00,$16671,12240,0.362
20,18-24,Hyderabad,SUNU5X,2005-06-30 00:00:00,$57885,42500,0.362
20,18-24,Hyderabad,SUNUXOM,2005-03-02 00:00:00,$7014,5150,0.362
20,18-24,Hyderabad,SUNVMS6,2005-03-17 00:00:00,$7014,5150,0.362
20,18-24,Hyderabad,SUNW61,2005-01-17 00:00:00,$16671,12240,0.362
20,18-24,Hyderabad,SUNWIR,2005-02-26 00:00:00,$10726,7875,0.362
20,18-24,Hyderabad,SUNWY1,2005-06-15 00:00:00,$7014,5150,0.362
20,18-24,Hyderabad,SUNX9DT,2005-08-03 00:00:00,$10215,7500,0.362
20,18-24,Hyderabad,SUNXDF2,2005-01-02 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNY1J,2005-04-30 00:00:00,$6946,5100,0.362
20,18-24,Hyderabad,SUNYIY,2005-09-03 00:00:00,$6810,5000,0.362
20,18-24,Hyderabad,SUNYQA,2005-03-13 00:00:00,$10215,7500,0.362
20,18-24,Hyderabad,SUNZK,2005-10-25 00:00:00,$16834,12360,0.362
20,18-24,Hyderabad,SUNZRKS,2005-04-04 00:00:00,$16671,12240,0.362
20,18-24,Indore,SUN1FT,2005-03-29 00:00:00,$10726,7875,0.362
20,18-24,Indore,SUN3ID,2005-08-07 00:00:00,$10521,7725,0.362
20,18-24,Indore,SUN5BGV,2005-07-07 00:00:00,$6810,5000,0.362
20,18-24,Indore,SUN6NV6,2005-08-24 00:00:00,$17161,12600,0.362
20,18-24,Indore,SUN87KP,2005-10-31 00:00:00,$7151,5250,0.362
20,18-24,Indore,SUNBGL,2005-07-23 00:00:00,$23200,17034,0.362
20,18-24,Indore,SUNC9,2005-08-26 00:00:00,$7014,5150,0.362
20,18-24,Indore,SUNETW,2005-08-26 00:00:00,$10726,7875,0.362
20,18-24,Indore,SUNIC1H,2005-01-08 00:00:00,$10726,7875,0.362
20,18-24,Indore,SUNIPE,2005-10-24 00:00:00,$17161,12600,0.362
20,18-24,Indore,SUNKBKQ,2005-02-03 00:00:00,$6810,5000,0.362
20,18-24,Indore,SUNKKW,2005-02-03 00:00:00,$6810,5000,0.362
20,18-24,Indore,SUNMM7,2005-01-14 00:00:00,$10726,7875,0.362
20,18-24,Indore,SUNOJ1N,2005-04-27 00:00:00,$16344,12000,0.362
20,18-24,Indore,SUNOY8B,2005-09-16 00:00:00,$10521,7725,0.362
20,18-24,Indore,SUNOYR4,2005-10-01 00:00:00,$44471,32651,0.362
20,18-24,Indore,SUNQIB,2005-06-14 00:00:00,$30747,22575,0.362
20,18-24,Indore,SUNR8WI,2005-03-06 00:00:00,$10419,7650,0.362
20,18-24,Indore,SUNR8WW,2005-10-24 00:00:00,$16344,12000,0.362
20,18-24,Indore,SUNRUD9,2005-09-23 00:00:00,$6810,5000,0.362
20,18-24,Indore,SUNTIV,2005-09-02 00:00:00,$16671,12240,0.362
20,18-24,Indore,SUNTY2,2005-09-07 00:00:00,$29869,21930,0.362
20,18-24,Indore,SUNUBRV,2005-04-14 00:00:00,$10726,7875,0.362
20,18-24,Indore,SUNUMNB,2005-08-14 00:00:00,$16834,12360,0.362
20,18-24,Indore,SUNYHH,2005-09-06 00:00:00,$10419,7650,0.362
20,18-24,Mumbai,SUN05O,2005-07-04 00:00:00,$29283,21500,0.362
20,18-24,Mumbai,SUN0TNO,2005-08-30 00:00:00,$59043,43350,0.362
20,18-24,Mumbai,SUN1EA,2005-09-16 00:00:00,$10521,7725,0.362
20,18-24,Mumbai,SUN1L4O,2005-09-08 00:00:00,$109403,80325,0.362
20,18-24,Mumbai,SUN1QE,2005-07-30 00:00:00,$171612,126000,0.362
20,18-24,Mumbai,SUN243,2005-10-29 00:00:00,$10726,7875,0.362
20,18-24,Mumbai,SUN243Q,2005-02-18 00:00:00,$16344,12000,0.362
20,18-24,Mumbai,SUN2W7,2005-01-21 00:00:00,$29869,21930,0.362
20,18-24,Mumbai,SUN31C,2005-05-20 00:00:00,$16671,12240,0.362
20,18-24,Mumbai,SUN37D,2005-01-07 00:00:00,$7014,5150,0.362
20,18-24,Mumbai,SUN3PKF,2005-01-01 00:00:00,$10419,7650,0.362
20,18-24,Mumbai,SUN3TNT,2005-07-21 00:00:00,$23200,17034,0.362
20,18-24,Mumbai,SUN4,2005-02-06 00:00:00,$17161,12600,0.362
20,18-24,Mumbai,SUN42,2005-08-29 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUN4LG,2005-07-09 00:00:00,$16671,12240,0.362
20,18-24,Mumbai,SUN4N3,2005-10-27 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUN4VIZ,2005-05-15 00:00:00,$10726,7875,0.362
20,18-24,Mumbai,SUN4YWH,2005-08-02 00:00:00,$106277,78030,0.362
20,18-24,Mumbai,SUN52OB,2005-07-20 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUN59XS,2005-01-15 00:00:00,$7014,5150,0.362
20,18-24,Mumbai,SUN5E8,2005-10-08 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUN5FU,2005-09-17 00:00:00,$6810,5000,0.362
20,18-24,Mumbai,SUN63F3,2005-04-04 00:00:00,$57885,42500,0.362
20,18-24,Mumbai,SUN65W,2005-01-21 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUN6HB8,2005-09-13 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUN6HJ,2005-09-22 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUN6RB,2005-01-23 00:00:00,$6810,5000,0.362
20,18-24,Mumbai,SUN71LE,2005-06-18 00:00:00,$16671,12240,0.362
20,18-24,Mumbai,SUN7MFW,2005-05-02 00:00:00,$6810,5000,0.362
20,18-24,Mumbai,SUN7R2,2005-06-09 00:00:00,$29283,21500,0.362
20,18-24,Mumbai,SUN7Z4,2005-10-09 00:00:00,$44039,32334,0.362
20,18-24,Mumbai,SUN87IP,2005-03-02 00:00:00,$10215,7500,0.362
20,18-24,Mumbai,SUN87VU,2005-04-02 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUN8CGA,2005-03-13 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUN8FI,2005-10-14 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUN8K,2005-03-19 00:00:00,$23883,17535,0.362
20,18-24,Mumbai,SUNA1MK,2005-09-20 00:00:00,$171612,126000,0.362
20,18-24,Mumbai,SUNA9V,2005-10-12 00:00:00,$23883,17535,0.362
20,18-24,Mumbai,SUNAR9,2005-09-24 00:00:00,$16671,12240,0.362
20,18-24,Mumbai,SUNBGR,2005-08-10 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUNC7,2005-10-24 00:00:00,$10521,7725,0.362
20,18-24,Mumbai,SUNDDC,2005-08-25 00:00:00,$57885,42500,0.362
20,18-24,Mumbai,SUNDDR,2005-02-22 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUNDJP,2005-02-26 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUNDQ6E,2005-05-18 00:00:00,$23200,17034,0.362
20,18-24,Mumbai,SUNDQU,2005-05-25 00:00:00,$10419,7650,0.362
20,18-24,Mumbai,SUNDYQ,2005-06-02 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUNEHG,2005-08-20 00:00:00,$10419,7650,0.362
20,18-24,Mumbai,SUNF8V,2005-03-29 00:00:00,$10726,7875,0.362
20,18-24,Mumbai,SUNFQU,2005-03-31 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUNFVZ,2005-04-28 00:00:00,$10419,7650,0.362
20,18-24,Mumbai,SUNGC2,2005-04-24 00:00:00,$29869,21930,0.362
20,18-24,Mumbai,SUNGHA,2005-10-03 00:00:00,$10726,7875,0.362
20,18-24,Mumbai,SUNGQ3,2005-02-01 00:00:00,$45334,33285,0.362
20,18-24,Mumbai,SUNGX,2005-03-22 00:00:00,$23883,17535,0.362
20,18-24,Mumbai,SUNGZR,2005-01-11 00:00:00,$10419,7650,0.362
20,18-24,Mumbai,SUNH600,2005-06-10 00:00:00,$10726,7875,0.362
20,18-24,Mumbai,SUNIUZX,2005-02-28 00:00:00,$10521,7725,0.362
20,18-24,Mumbai,SUNIV4,2005-09-28 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUNJF2W,2005-09-08 00:00:00,$6946,5100,0.362
20,18-24,Mumbai,SUNJMST,2005-03-19 00:00:00,$23200,17034,0.362
20,18-24,Mumbai,SUNLCWR,2005-03-17 00:00:00,$166709,122400,0.362
20,18-24,Mumbai,SUNLX28,2005-05-15 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUNMIF,2005-10-05 00:00:00,$6810,5000,0.362
20,18-24,Mumbai,SUNMQE,2005-02-02 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUNNH5O,2005-01-11 00:00:00,$7151,5250,0.362
20,18-24,Mumbai,SUNO6CY,2005-04-07 00:00:00,$23428,17201,0.362
